,speaker_1,name,_merge
0,Carl Honoré,,left_only
1,Halla Tá³masdá³ttir,,left_only
2,Halla Tá³masdá³ttir,,left_only
3,Svante Pá¤á¤bo,,left_only
4,Péter Fankhauser,Péter Fankhauser,both
5,Grégoire Courtine,Grégoire Courtine,both
6,Ilona Szabá³ de Carvalho,,left_only
7,Nonny de la Peña,Nonny de la Peña,both
8,Antá³nio Guterres,,left_only
9,Andrés Ruzo,Andrés Ruzo,both
10,Kimberlé Crenshaw,Kimberlé Crenshaw,both
11,Miriam Zoila Pérez,Miriam Zoila Pérez,both
12,Olúfẹ́mi Táíwò,Olúfẹ́mi Táíwò,both
13,Edsel Salvaña,Edsel Salvaña,both
14,Walé Oyéjidé,Walé Oyéjidé,both
15,IkÃ© UdÃ©,,left_only
16,,Jonas Gahr Støre,right_only
17,,Halla Tómasdóttir,right_only
18,,Kayla Briët,right_only
19,,Sinéad Burke,right_only
20,,José Andrés,right_only
21,,Hannah Bürckstümmer,right_only
22,,Sebastián Bortnik,right_only
23,,António Guterres,right_only
24,,Helder Guimarães,right_only
25,,Diébédo Francis Kéré,right_only
26,,Naná Vasconcelos,right_only
27,,Blaise Agüera y Arcas,right_only
28,,Inés Hercovich,right_only
29,,Marina Abramović,right_only
30,,José Antonio Abreu,right_only
31,,Eduardo Sáenz de Cabezón,right_only
32,,Matthias Müllenbeck,right_only
33,,Christian Rodríguez,right_only
34,,Brené Brown,right_only
35,,Tomás Saraceno,right_only
36,,Ilona Szabó de Carvalho,right_only
37,,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,right_only
38,,Eduardo Briceño,right_only
39,,Alejandro Sánchez Alvarado,right_only
40,,Patrícia Medici,right_only
41,,Sebastião Salgado,right_only
42,,Ziyah Gafić,right_only
43,,Guillaume Néry,right_only
44,,Rébecca Kleinberger,right_only
45,,Iké Udé,right_only
46,,Angélica Dass,right_only
47,,Béatrice Coron,right_only
48,,Enrique Peñalosa,right_only
49,,Anna Rosling Rönnlund,right_only
50,,Özlem Cekic,right_only
51,,José Bowen,right_only
52,,Marco Alverà,right_only
53,,Fadi Chehadé,right_only
54,,Finn Lützow-Holm Myrstad,right_only
55,,Françoise Mouly,right_only
56,,Gonzalo Vilariño,right_only
57,,Sō Percussion,right_only
58,,Cédric Villani,right_only
59,,Andreas Ekström,right_only
60,,Svante Pääbo,right_only
61,,Burçin Mutlu-Pakdil,right_only
62,,Gastón Acurio,right_only
63,,Ellen Støkken Dahl,right_only
64,,Vernā Myers,right_only
65,,Nina Dølvik Brochmann,right_only
66,,Rocío Lorenzo,right_only
67,,Gabriela González,right_only
