,Year,Event,Original
johann_hari_everything_you_think_you_know_about_addiction_is_wrong,,TEDGlobalLondon,TEDGlobalLondon
jon_ronson_what_happens_when_online_shaming_spirals_out_of_control,,TEDGlobalLondon,TEDGlobalLondon
yuval_noah_harari_what_explains_the_rise_of_humans,,TEDGlobalLondon,TEDGlobalLondon
tony_wyss_coray_how_young_blood_might_help_reverse_aging_yes_really,,TEDGlobalLondon,TEDGlobalLondon
jim_al_khalili_how_quantum_biology_might_explain_life_s_biggest_questions,,TEDGlobalLondon,TEDGlobalLondon
jamie_bartlett_how_the_mysterious_dark_net_is_going_mainstream,,TEDGlobalLondon,TEDGlobalLondon
frances_larson_why_public_beheadings_get_millions_of_views,,TEDGlobalLondon,TEDGlobalLondon
alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt,,TEDGlobalLondon,TEDGlobalLondon
michael_green_how_we_can_make_the_world_a_better_place_by_2030,,TEDGlobal>London,TEDGlobal>London
anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories,,TEDGlobal>London,TEDGlobal>London
jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely,,TEDGlobal>London,TEDGlobal>London
francesco_sauro_deep_under_the_earth_s_surface_discovering_beauty_and_science,,TEDGlobal>London,TEDGlobal>London
hilary_cottam_social_services_are_broken_how_we_can_fix_them,,TEDGlobal>London,TEDGlobal>London
mathias_jud_art_that_lets_you_talk_back_to_nsa_spies,,TEDGlobal>London,TEDGlobal>London
daniel_levitin_how_to_stay_calm_when_you_know_you_ll_be_stressed,,TEDGlobal>London,TEDGlobal>London
harald_haas_a_breakthrough_new_kind_of_wireless_internet,,TEDGlobal>London,TEDGlobal>London
ann_morgan_my_year_reading_a_book_from_every_country_in_the_world,,TEDGlobal>London,TEDGlobal>London
antonio_guterres_refugees_have_the_right_to_be_protected,,TEDGlobal>Geneva,TEDGlobal>Geneva
rodrigo_bijou_governments_don_t_understand_cyber_warfare_we_need_hackers,,TEDGlobal>London,TEDGlobal>London
harry_cliff_have_we_reached_the_end_of_physics,,TEDGlobal>Geneva,TEDGlobal>Geneva
james_veitch_this_is_what_happens_when_you_reply_to_spam_email,,TEDGlobal>Geneva,TEDGlobal>Geneva
tim_harford_how_messy_problems_can_inspire_creativity,,TEDGlobal>London,TEDGlobal>London
wael_ghonim_let_s_design_social_media_that_drives_real_change,,TEDGlobal>Geneva,TEDGlobal>Geneva
ole_scheeren_why_great_architecture_should_tell_a_story,,TEDGlobal>London,TEDGlobal>London
jill_farrant_how_we_can_make_crops_survive_without_water,,TEDGlobal>Geneva,TEDGlobal>Geneva
elizabeth_lev_the_unheard_story_of_the_sistine_chapel,,TEDGlobal>Geneva,TEDGlobal>Geneva
yanis_varoufakis_capitalism_will_eat_democracy_unless_we_speak_up,,TEDGlobal>Geneva,TEDGlobal>Geneva
auke_ijspeert_a_robot_that_runs_and_swims_like_a_salamander,,TEDGlobal>Geneva,TEDGlobal>Geneva
melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali,,TEDGlobal>London,TEDGlobal>London
dambisa_moyo_economic_growth_has_stalled_let_s_fix_it,,TEDGlobal>Geneva,TEDGlobal>Geneva
jocelyne_bloch_the_brain_may_be_able_to_repair_itself_with_help,,TEDGlobal>Geneva,TEDGlobal>Geneva
caleb_harper_this_computer_will_grow_your_food_in_the_future,,TEDGlobal>Geneva,TEDGlobal>Geneva
marwa_al_sabouni_how_syria_s_architecture_laid_the_foundation_for_brutal_war,,TEDSummit,TEDSummit
alexander_betts_why_brexit_happened_and_what_to_do_next,,TEDSummit,TEDSummit
emma_marris_nature_is_everywhere_we_just_need_to_learn_to_see_it,,TEDSummit,TEDSummit
el_seed_a_project_of_peace_painted_across_50_buildings,,TEDSummit,TEDSummit
gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history,,TEDSummit,TEDSummit
ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain,,TEDSummit,TEDSummit
suzanne_simard_how_trees_talk_to_each_other,,TEDSummit,TEDSummit
ngozi_okonjo_iweala_how_africa_can_keep_rising,,TEDSummit,TEDSummit
monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels,,TEDSummit,TEDSummit
sarah_parcak_hunting_for_peru_s_lost_civilizations_with_satellites,,TEDSummit,TEDSummit
anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,,TEDSummit,TEDSummit
laura_boushnak_the_deadly_legacy_of_cluster_bombs,,TEDSummit,TEDSummit
don_tapscott_how_the_blockchain_is_changing_money_and_business,,TEDSummit,TEDSummit
julia_bacha_how_women_wage_conflict_without_violence,,TEDSummit,TEDSummit
jonathan_tepperman_the_risky_politics_of_progress,,TEDSummit,TEDSummit
james_veitch_the_agony_of_trying_to_unsubscribe,,TEDSummit,TEDSummit
michael_shellenberger_how_fear_of_nuclear_power_is_hurting_the_environment,,TEDSummit,TEDSummit
abigail_marsh_why_some_people_are_more_altruistic_than_others,,TEDSummit,TEDSummit
rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights,,TEDSummit,TEDSummit
sam_harris_can_we_build_ai_without_losing_control_over_it,,TEDSummit,TEDSummit
helen_fisher_technology_hasn_t_changed_love_here_s_why,,TEDSummit,TEDSummit
ellen_jorgensen_what_you_need_to_know_about_crispr,,TEDSummit,TEDSummit
isaac_lidsky_what_reality_are_you_creating_for_yourself,,TEDSummit,TEDSummit
ione_wells_how_we_talk_about_sexual_assault_online,,TEDSummit,TEDSummit
pico_iyer_the_beauty_of_what_we_ll_never_know,,TEDSummit,TEDSummit
rachel_botsman_we_ve_stopped_trusting_institutions_and_started_trusting_strangers,,TEDSummit,TEDSummit
zeynep_tufekci_machine_intelligence_makes_human_morals_more_important,,TEDSummit,TEDSummit
christopher_soghoian_your_smartphone_is_a_civil_rights_issue,,TEDSummit,TEDSummit
tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines,,TEDSummit,TEDSummit
bettina_warburg_how_the_blockchain_will_radically_transform_the_economy,,TEDSummit,TEDSummit
juan_enriquez_what_will_humans_look_like_in_100_years,,TEDSummit,TEDSummit
joe_lassiter_we_need_nuclear_power_to_solve_climate_change,,TEDSummit,TEDSummit
kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,,TEDSummit,TEDSummit
jen_brea_what_happens_when_you_have_a_disease_doctors_can_t_diagnose,,TEDSummit,TEDSummit
christiane_amanpour_how_to_seek_truth_in_the_era_of_fake_news,,TEDGlobal>NYC,TEDGlobal>NYC
elif_shafak_the_revolutionary_power_of_diverse_thought,,TEDGlobal>NYC,TEDGlobal>NYC
margrethe_vestager_the_new_age_of_corporate_monopolies,,TEDGlobal>NYC,TEDGlobal>NYC
zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads,,TEDGlobal>NYC,TEDGlobal>NYC
robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,,TEDGlobal>NYC,TEDGlobal>NYC
per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,,TEDGlobal>NYC,TEDGlobal>NYC
naoko_ishii_an_economic_case_for_saving_the_planet,,TEDGlobal>NYC,TEDGlobal>NYC
naomi_klein_how_shocking_events_can_spark_positive_change,,TEDGlobal>NYC,TEDGlobal>NYC
