,subject,verb,Count
0,he,had,44
1,he,said,25
2,he,going,24
3,he,got,17
4,he,has,17
5,he,found,16
6,he,wanted,16
7,he,have,14
8,he,took,14
9,he,did,13
10,he,started,10
11,he,told,10
12,he,put,9
13,he,saw,9
14,he,doing,7
15,he,gave,7
16,he,says,7
17,he,went,7
18,he,looked,6
19,he,turned,6
20,i,have,358
21,i,want,306
22,i,going,277
23,i,had,225
24,i,like,154
25,i,started,121
26,i,got,116
27,i,wanted,116
28,i,know,114
29,i,love,108
30,i,tell,92
31,i,do,91
32,i,think,90
33,i,get,72
34,i,see,71
35,i,told,66
36,i,saw,65
37,i,asked,64
38,i,did,58
39,i,trying,57
40,it,going,72
41,it,has,68
42,it,takes,37
43,it,had,33
44,it,take,29
45,it,have,25
46,it,took,25
47,it,got,20
48,it,mean,17
49,it,means,17
50,it,gives,16
51,it,starts,16
52,it,makes,15
53,it,make,14
54,it,meant,11
55,it,tells,11
56,it,called,10
57,it,do,10
58,it,taken,10
59,it,used,10
60,she,had,30
61,she,has,22
62,she,said,21
63,she,told,15
64,she,going,10
65,she,doing,9
66,she,goes,9
67,she,have,9
68,she,got,8
69,she,do,7
70,she,loves,7
71,she,started,7
72,she,did,6
73,she,does,6
74,she,done,6
75,she,gave,6
76,she,gets,6
77,she,made,6
78,she,brought,5
79,she,get,5
80,they,have,170
81,they,do,58
82,they,had,48
83,they,going,35
84,they,want,35
85,they,make,32
86,they,use,32
87,they,get,27
88,they,need,24
89,they,got,23
90,they,take,20
91,they,doing,19
92,they,found,18
93,they,know,18
94,they,took,18
95,they,put,17
96,they,call,16
97,they,tell,16
98,they,told,16
99,they,made,15
100,we,have,534
101,we,need,238
102,we,going,156
103,we,do,142
104,we,see,137
105,we,had,134
106,we,want,104
107,we,know,78
108,we,got,73
109,we,use,71
110,we,found,66
111,we,get,60
112,we,make,59
113,we,call,54
114,we,find,53
115,we,doing,49
116,we,put,42
117,we,take,40
118,we,started,39
119,we,wanted,39
120,you,have,366
121,you,see,221
122,you,want,135
123,you,do,109
124,you,get,107
125,you,know,91
126,you,need,90
127,you,going,83
128,you,got,71
129,you,find,54
130,you,put,44
131,you,take,43
132,you,had,40
133,you,start,38
134,you,use,38
135,you,hear,30
136,you,doing,28
137,you,imagine,28
138,you,make,28
139,you,like,27
